"Delivery Address ID","Delivery Address","Consignment Reference","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Ship Qty"
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,2
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,4
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,4
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,8
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,4
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,4
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,8
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,4
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,2
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,2
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,3
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,2
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,4
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,4
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,2
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,2
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,2
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,11
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,9
